"Plot","Rep","Entry","Name","Expt"
2436,2,83,"ILL 4783 AGL","Spain 2017"
2437,2,212,"PI 329157 LSP AGL","Spain 2017"
2438,2,3,"3156-11 AGL","Spain 2017"
2439,2,252,"PI 431705 LSP AGL","Spain 2017"
2440,2,305,"PI 472590 LSP AGL","Spain 2017"
2441,2,208,"PI 320946 LSP AGL","Spain 2017"
2442,2,49,"IG 4258 AGL","Spain 2017"
2443,2,71,"ILL 313 AGL","Spain 2017"
2444,2,29,"CN 105732 AGL","Spain 2017"
2445,2,161,"PI 289066 AGL","Spain 2017"
2446,2,20,"CDC Rouleau AGL","Spain 2017"
2447,2,84,"ILL 4804 AGL","Spain 2017"
2448,2,280,"PI 432184 LSP AGL","Spain 2017"
2449,2,103,"ILL 7089 AGL","Spain 2017"
2450,2,228,"PI 374118 AGL","Spain 2017"
2451,2,169,"PI 297772 LSP AGL","Spain 2017"
2452,2,218,"PI 339292 LSP AGL","Spain 2017"
2453,2,232,"PI 383682 LSP AGL","Spain 2017"
2454,2,157,"PI 251248 LSP AGL","Spain 2017"
2455,2,222,"PI 358602 LSP AGL","Spain 2017"
2456,2,297,"PI 472327 LSP AGL","Spain 2017"
2457,2,269,"PI 432000 LSP AGL","Spain 2017"
2458,2,210,"PI 320953 LSP AGL","Spain 2017"
2459,2,119,"ILL 975 AGL","Spain 2017"
2460,2,60,"ILL 1220 AGL","Spain 2017"
2461,2,180,"PI 298922 LSP AGL","Spain 2017"
2462,2,184,"PI 299121 LSP AGL","Spain 2017"
2463,2,75,"ILL 4164 AGL","Spain 2017"
2464,2,159,"PI 280686 AGL","Spain 2017"
2465,2,36,"CN 105864 AGL","Spain 2017"
2466,2,178,"PI 298645 AGL","Spain 2017"
2467,2,98,"ILL 6182 AGL","Spain 2017"
2468,2,179,"PI 298921 AGL","Spain 2017"
2469,2,106,"ILL 7668 AGL","Spain 2017"
2470,2,35,"CN 105863 AGL","Spain 2017"
2471,2,309,"PI 490288 LSP AGL","Spain 2017"
2472,2,320,"W6 27754 LSP AGL","Spain 2017"
2473,2,128,"Laird AGL","Spain 2017"
2474,2,44,"Eston AGL","Spain 2017"
2475,2,277,"PI 432124 LSP AGL","Spain 2017"
2476,2,310,"PI 490289 LSP AGL","Spain 2017"
2477,2,64,"ILL 213 AGL","Spain 2017"
2478,2,256,"PI 431728 LSP AGL","Spain 2017"
2479,2,73,"ILL 358 AGL","Spain 2017"
2480,2,319,"Shasta AGL","Spain 2017"
2481,2,181,"PI 298923 LSP AGL","Spain 2017"
2482,2,66,"PI 431893 LSP AGL","Spain 2017"
2483,2,94,"ILL 5888 AGL","Spain 2017"
2484,2,187,"PI 299164 LSP AGL","Spain 2017"
2485,2,99,"ILL 6211 AGL","Spain 2017"
2486,2,290,"PI 458503 LSP AGL","Spain 2017"
2487,2,136,"PI 178971 LSP AGL","Spain 2017"
2488,2,150,"PI 212100 LSP AGL","Spain 2017"
2489,2,163,"PI 289079 LSP AGL","Spain 2017"
2490,2,10,"CDC KR-1 AGL","Spain 2017"
2491,2,255,"PI 431717 LSP AGL","Spain 2017"
2492,2,283,"PI 432201 LSP AGL","Spain 2017"
2493,2,1,"CDC Asterix AGL","Spain 2017"
2494,2,148,"PI 209858 LSP AGL","Spain 2017"
2495,2,76,"ILL 4400 AGL","Spain 2017"
2496,2,37,"CN 105865 AGL","Spain 2017"
2497,2,91,"ILL 5639 AGL","Spain 2017"
2498,2,13,"CDC QG-1 AGL","Spain 2017"
2499,2,52,"ILL 10657 AGL","Spain 2017"
